date_time,open,high,low,close,volume
01-01-2023,4.309,4.389,4.276,4.371,212136.477
02-01-2023,4.371,4.537,4.317,4.494,516823.724
03-01-2023,4.494,4.547,4.468,4.527,313436.667
04-01-2023,4.527,4.688,4.527,4.633,349067.558
05-01-2023,4.633,4.65,4.545,4.62,261446.355
06-01-2023,4.62,4.709,4.552,4.684,269259.206
07-01-2023,4.684,4.707,4.637,4.668,129512.224
08-01-2023,4.668,4.827,4.605,4.827,222731.86
09-01-2023,4.827,5.078,4.8,4.893,613139.554
10-01-2023,4.893,4.97,4.826,4.919,208272.323
11-01-2023,4.919,5.14,4.827,5.133,304419.107
12-01-2023,5.133,5.256,5.017,5.235,550989.561
13-01-2023,5.235,5.418,5.164,5.401,367904.333
14-01-2023,5.401,6.522,5.397,6.027,1934312.039
15-01-2023,6.027,6.067,5.773,5.93,883511.437
16-01-2023,5.93,6.085,5.647,5.811,1665321.055
17-01-2023,5.811,6.213,5.693,5.953,725875.991
18-01-2023,5.953,6.215,5.588,5.651,943826.102
19-01-2023,5.651,5.842,5.643,5.803,296241.438
20-01-2023,5.803,6.299,5.755,6.251,480276.867
21-01-2023,6.251,6.462,5.9,6.238,891051.582
22-01-2023,6.238,6.457,6.08,6.211,743974.965
23-01-2023,6.211,6.822,6.201,6.557,859476.204
24-01-2023,6.557,6.708,6.111,6.192,479864.381
25-01-2023,6.192,6.562,6.011,6.399,691190.709
26-01-2023,6.399,6.558,6.296,6.47,543570.541
27-01-2023,6.47,6.621,6.273,6.584,437177.785
28-01-2023,6.584,6.665,6.328,6.406,470631.697
29-01-2023,6.406,6.699,6.33,6.609,459917.504
30-01-2023,6.609,6.649,6.024,6.19,500150.804
31-01-2023,6.19,6.324,6.148,6.261,252657.251
01-02-2023,6.261,6.528,6.031,6.468,544980.004
02-02-2023,6.468,6.915,6.452,6.544,758983.225
03-02-2023,6.544,7.13,6.505,7.007,737483.107
04-02-2023,7.007,7.073,6.821,6.873,233185.345
05-02-2023,6.873,6.892,6.516,6.641,390556.451
06-02-2023,6.641,6.788,6.41,6.489,422953.561
07-02-2023,6.489,6.948,6.477,6.939,384341.628
08-02-2023,6.939,7.022,6.616,6.755,303583.401
09-02-2023,6.755,6.973,6.089,6.235,785785.607
10-02-2023,6.235,6.306,6.116,6.187,316274.642
11-02-2023,6.187,6.29,6.16,6.277,123600.036
12-02-2023,6.277,6.382,6.075,6.179,193588.732
13-02-2023,6.179,6.244,5.876,6.145,384308.212
14-02-2023,6.145,6.26,6.012,6.226,414541.444
15-02-2023,6.226,6.616,6.161,6.616,428266.728
16-02-2023,6.616,6.745,6.32,6.326,670341.916
17-02-2023,6.326,7.41,6.292,7.283,990389.223
18-02-2023,7.283,7.372,7.113,7.235,506968.282
19-02-2023,7.235,7.888,7.186,7.441,946782.498
20-02-2023,7.441,7.571,7.246,7.552,568568.901
21-02-2023,7.552,7.571,7.117,7.249,538002.574
22-02-2023,7.249,7.269,6.883,7.184,603658.205
23-02-2023,7.184,7.38,7.014,7.094,562581.632
24-02-2023,7.094,7.151,6.47,6.613,699722.291
25-02-2023,6.613,6.649,6.341,6.546,435647.557
